id,prediction,true
964,0,0
965,0,1
966,0,1
967,0,1
968,0,0
969,1,1
970,0,0
971,0,1
972,0,1
973,0,1
974,1,1
975,1,1
976,0,1
977,0,0
978,0,1
979,0,1
980,1,1
981,0,1
982,1,1
983,1,0
984,1,1
985,0,1
986,0,1
987,1,0
988,0,1
989,1,1
990,1,1
991,0,1
992,1,1
993,0,1
994,0,1
995,1,1
996,1,1
997,0,1
998,1,1
999,1,1
1000,1,0
1001,0,1
1002,1,1
1003,1,1
1004,1,1
1005,1,1
1006,1,1
1007,0,0
1008,1,0
1009,1,1
1010,0,1
1011,1,1
1012,1,1
1013,0,1
1014,1,1
1015,1,1
1016,1,0
1017,1,1
1018,1,1
1019,1,1
1020,1,1
1021,1,1
1022,0,0
1023,1,1
1024,1,1
1025,0,0
1026,0,1
1027,1,1
1028,1,1
1029,1,1
1030,1,1
1031,0,1
1032,1,1
1033,1,1
1034,1,1
1035,0,0
1036,1,0
1037,1,1
1038,0,1
1039,0,1
1040,0,1
1041,0,0
1042,0,1
1043,0,1
1044,0,1
1045,1,1
1046,0,1
1047,1,1
1048,0,1
1049,0,1
1050,0,0
1051,1,1
1052,0,1
1053,0,1
1054,0,1
1055,0,1
1056,1,1
1057,1,1
1058,1,1
1059,0,0
1060,0,0
1061,0,1
1062,1,0
1063,1,1
1064,0,1
1065,0,0
1066,0,1
1067,0,1
1068,1,1
1069,0,0
1070,1,1
1071,1,0
1072,0,0
1073,1,1
1074,0,1
1075,1,1
1076,1,1
1077,1,1
1078,1,1
1079,1,1
1080,1,1
1081,1,1
1082,0,1
1083,0,1
1084,0,1
1085,0,0
1086,1,1
1087,0,1
1088,1,1
1089,0,1
1090,0,1
1091,1,1
1092,0,1
1093,1,1
1094,0,1
1095,1,1
1096,1,1
1097,0,0
1098,1,1
1099,1,0
1100,1,1
1101,1,0
1102,0,0
1103,0,1
1104,0,0
1105,0,1
1106,1,1
1107,0,1
